jour,hospitalises,reanimation,deces,hosp_mm7,rea_mm7
2021-04-13,31226,5952,73335,30740.0,5809.0
2021-04-14,30868,5902,73632,30735.0,5834.0
2021-04-15,30668,5924,73928,30751.0,5865.0
2021-04-16,30472,5914,74234,30772.0,5888.0
2021-04-17,30329,5877,74423,30785.0,5903.0
2021-04-18,30789,5893,74563,30802.0,5911.0
2021-04-19,31214,5970,75010,30795.0,5919.0
2021-04-20,31086,5984,75384,30775.0,5923.0
2021-04-21,30954,5959,75697,30787.0,5932.0
2021-04-22,30634,5981,75980,30783.0,5940.0
2021-04-23,30438,5962,76285,30778.0,5947.0
2021-04-24,30100,5958,76502,30745.0,5958.0
2021-04-25,30287,5978,76647,30673.0,5970.0
2021-04-26,30596,6001,77045,30585.0,5975.0
2021-04-27,30281,5943,77370,30470.0,5969.0
2021-04-28,29911,5879,77685,30321.0,5957.0
2021-04-29,29487,5804,77991,30157.0,5932.0
2021-04-30,28930,5675,78261,29942.0,5891.0
2021-05-01,28603,5581,78453,29728.0,5837.0
2021-05-02,28818,5585,78566,29518.0,5781.0
2021-05-03,28950,5630,78877,29283.0,5728.0
2021-05-04,28427,5504,79120,29018.0,5665.0
2021-05-05,27686,5402,79364,28700.0,5597.0
2021-05-06,26985,5231,79583,28343.0,5515.0
2021-05-07,26331,5106,79809,27971.0,5434.0
2021-05-08,25800,5005,79985,27571.0,5352.0
2021-05-09,25797,4971,80100,27139.0,5264.0
2021-05-10,25666,4870,80392,26670.0,5156.0
2021-05-11,25028,4743,80628,26185.0,5047.0
2021-05-12,24254,4583,80812,25694.0,4930.0
2021-05-13,23656,4442,80943,25219.0,4817.0
2021-05-14,23406,4352,81116,24801.0,4709.0
2021-05-15,22950,4271,81228,24394.0,4605.0
2021-05-16,22963,4255,81309,23989.0,4502.0
2021-05-17,22749,4186,81505,23572.0,4405.0
2021-05-18,22058,4015,81692,23148.0,4301.0
2021-05-19,21347,3862,81833,22733.0,4198.0
2021-05-20,20750,3769,81966,22318.0,4101.0
2021-05-21,20209,3631,82075,21861.0,3998.0
2021-05-22,19765,3544,82164,21406.0,3895.0
2021-05-23,19720,3515,82234,20943.0,3789.0
2021-05-24,19701,3496,82296,20507.0,3690.0
2021-05-25,19430,3447,82494,20132.0,3609.0
2021-05-26,18593,3330,82638,19738.0,3533.0
2021-05-27,17941,3206,82780,19337.0,3453.0
2021-05-28,17272,3104,82878,18917.0,3377.0
2021-05-29,16847,3028,82946,18501.0,3304.0
2021-05-30,16775,2993,82990,18080.0,3229.0
2021-05-31,16596,2945,83116,17636.0,3150.0
2021-06-01,16088,2825,83243,17159.0,3062.0
2021-06-02,15638,2754,83339,16737.0,2979.0
2021-06-03,15283,2677,83409,16357.0,2904.0
2021-06-04,14801,2571,83490,16004.0,2828.0
2021-06-05,14532,2525,83547,15673.0,2756.0
2021-06-06,14525,2527,83572,15352.0,2689.0
2021-06-07,14323,2472,83636,15027.0,2622.0
2021-06-08,13984,2394,83708,14727.0,2560.0
2021-06-09,13526,2326,83773,14425.0,2499.0
2021-06-10,13090,2245,83841,14112.0,2437.0
2021-06-11,12712,2163,83910,13813.0,2379.0
2021-06-12,12496,2110,83944,13522.0,2320.0
2021-06-13,12480,2106,83957,13230.0,2259.0
2021-06-14,12374,2068,84020,12952.0,2202.0
2021-06-15,11895,1952,84096,12653.0,2139.0
2021-06-16,11519,1873,84140,12367.0,2074.0
2021-06-17,11114,1799,84196,12084.0,2010.0
2021-06-18,10738,1740,84246,11802.0,1950.0
2021-06-19,10531,1703,84268,11522.0,1892.0
2021-06-20,10518,1703,84282,11241.0,1834.0
2021-06-21,10386,1655,84322,10957.0,1775.0
2021-06-22,10046,1560,84373,10693.0,1719.0
2021-06-23,9771,1509,84406,10443.0,1667.0
2021-06-24,9392,1439,84450,10197.0,1616.0
2021-06-25,9190,1389,84483,9976.0,1565.0
2021-06-26,9024,1349,84495,9761.0,1515.0
2021-06-27,8986,1345,84512,9542.0,1464.0
2021-06-28,8846,1304,84556,9322.0,1414.0
2021-06-29,8627,1250,84584,9119.0,1369.0
2021-06-30,8451,1204,84609,8931.0,1326.0
2021-07-01,8232,1162,84638,8765.0,1286.0
2021-07-02,8044,1123,84662,8601.0,1248.0
2021-07-03,7912,1102,84679,8443.0,1213.0
2021-07-04,7913,1104,84688,8289.0,1178.0
2021-07-05,7806,1077,84724,8141.0,1146.0
2021-07-06,7637,1032,84758,7999.0,1115.0
2021-07-07,7539,997,84786,7869.0,1085.0
2021-07-08,7384,971,84811,7748.0,1058.0
2021-07-09,7275,953,84829,7638.0,1034.0
2021-07-10,7183,947,84848,7534.0,1012.0
2021-07-11,7183,947,84852,7430.0,989.0
2021-07-12,7137,957,84880,7334.0,972.0
2021-07-13,7076,933,84902,7254.0,958.0
2021-07-14,7047,931,84908,7184.0,948.0
2021-07-15,7054,914,84924,7136.0,940.0
2021-07-16,6971,899,84946,7093.0,933.0
2021-07-17,6922,890,84962,7056.0,924.0
2021-07-18,6936,891,84967,7020.0,916.0
2021-07-19,7041,902,84987,7007.0,909.0
2021-07-20,6912,876,85020,6983.0,900.0
2021-07-21,6869,859,85042,6958.0,890.0
2021-07-22,6832,868,85053,6926.0,884.0
2021-07-23,6802,872,85082,6902.0,880.0
2021-07-24,6787,878,85104,6883.0,878.0
2021-07-25,6843,886,85110,6869.0,877.0
2021-07-26,7079,952,85154,6875.0,884.0
2021-07-27,7137,978,85182,6907.0,899.0
2021-07-28,7208,992,85225,6955.0,918.0
2021-07-29,7236,1015,85252,7013.0,939.0
2021-07-30,7363,1072,85312,7093.0,968.0
2021-07-31,7409,1099,85355,7182.0,999.0
2021-08-01,7581,1137,85373,7288.0,1035.0
2021-08-02,7840,1232,85424,7396.0,1075.0
2021-08-03,7974,1331,85480,7516.0,1125.0
2021-08-04,8134,1371,85528,7648.0,1180.0
2021-08-05,8210,1420,85577,7787.0,1237.0
2021-08-06,8368,1458,85637,7931.0,1293.0
2021-08-07,8425,1510,85669,8076.0,1351.0
2021-08-08,8685,1556,85697,8234.0,1411.0
2021-08-09,9022,1667,85765,8403.0,1473.0
2021-08-10,9153,1712,85833,8571.0,1528.0
2021-08-11,9233,1745,85886,8728.0,1581.0
2021-08-12,9465,1807,85963,8907.0,1636.0
2021-08-13,9546,1831,86037,9076.0,1690.0
2021-08-14,9648,1837,86088,9250.0,1736.0
2021-08-15,9798,1852,86132,9409.0,1779.0
2021-08-16,10151,1908,86228,9571.0,1813.0
2021-08-17,10219,1953,86339,9723.0,1848.0
2021-08-18,10336,2054,86451,9880.0,1892.0
2021-08-19,10392,2049,86578,10013.0,1926.0
2021-08-20,10515,2091,86660,10151.0,1963.0
2021-08-21,10463,2106,86789,10268.0,2002.0
2021-08-22,10651,2128,86883,10390.0,2041.0
2021-08-23,11007,2215,86991,10512.0,2085.0
2021-08-24,11066,2221,87143,10633.0,2123.0
2021-08-25,11171,2239,87236,10752.0,2150.0
2021-08-26,11104,2261,87343,10854.0,2180.0
2021-08-27,11162,2270,87438,10946.0,2206.0
2021-08-28,11052,2259,87512,11030.0,2228.0
2021-08-29,11092,2276,87565,11093.0,2249.0
2021-08-30,11245,2290,87663,11127.0,2259.0
2021-08-31,11120,2292,87797,11135.0,2270.0
2021-09-01,11119,2294,87880,11128.0,2277.0
2021-09-02,10934,2275,87983,11103.0,2279.0
2021-09-03,10816,2259,88076,11054.0,2278.0
2021-09-04,10654,2223,88159,10997.0,2273.0
2021-09-05,10644,2217,88208,10933.0,2264.0
2021-09-06,10757,2249,88310,10863.0,2258.0
2021-09-07,10646,2259,88418,10796.0,2254.0
2021-09-08,10438,2224,88518,10698.0,2244.0
